row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,duration_seconds,error_message
77,Data\groud_truth\template\dynamo-tables.yaml,20260406_235542_76ae4481,ok,False,5.0,10.0,32387.0,0.0,0.0,27549.0,4838.0,1156.72,
78,Data\groud_truth\template\ipam.yaml,20260407_001459_3eb4dfe4,ok,True,2.0,4.0,5231.0,0.0,0.0,4239.0,992.0,246.886,
79,Data\groud_truth\template\iam-policies.yaml,20260407_001906_b64fe292,ok,True,2.0,4.0,5771.0,0.0,0.0,4611.0,1160.0,368.427,
80,Data\groud_truth\template\bedrock-agent-role.yaml,20260407_002514_db028ae6,ok,True,1.0,2.0,2823.0,0.0,0.0,2311.0,512.0,189.546,
81,Data\groud_truth\template\patch-resource-group.yaml,,runtime_error,,,,,,,,,4965.482,Expecting value: line 1187 column 1 (char 6523)
82,Data\groud_truth\template\alb-notebook-access-logsbucket.yaml,20260407_015109_667e10eb,ok,True,3.0,6.0,29684.0,0.0,0.0,24370.0,5314.0,1013.953,
83,Data\groud_truth\template\tgw.yaml,20260407_020803_b1eadca6,ok,False,5.0,10.0,19015.0,0.0,0.0,16792.0,2223.0,364.358,
84,Data\groud_truth\template\macie.yaml,20260407_021408_b422647f,ok,False,5.0,10.0,16644.0,0.0,0.0,14507.0,2137.0,295.411,
85,Data\groud_truth\template\CloudWatch2S3-bucket.yaml,20260407_021903_70db7310,ok,True,2.0,4.0,5512.0,0.0,0.0,4285.0,1227.0,176.577,
86,Data\groud_truth\template\guardduty.yaml,20260407_022200_019313e4,ok,True,1.0,2.0,2446.0,0.0,0.0,2147.0,299.0,52.684,
87,Data\groud_truth\template\essentials.yaml,20260407_022252_7170e8b6,ok,True,1.0,2.0,3212.0,0.0,0.0,2299.0,913.0,135.767,
88,Data\groud_truth\template\sc-s3-launchrole.yaml,20260407_022508_bc7aca78,ok,False,5.0,10.0,37208.0,0.0,0.0,32608.0,4600.0,665.198,
89,Data\groud_truth\template\security-hub.yaml,20260407_023613_734f0bc1,ok,True,4.0,8.0,9955.0,0.0,0.0,8753.0,1202.0,198.475,
90,Data\groud_truth\template\ec2-image-builder.yaml,20260407_023932_33fb4b7f,ok,True,3.0,6.0,14314.0,0.0,0.0,11396.0,2918.0,353.09,
91,Data\groud_truth\template\bucket_for_vpc.yaml,20260407_024525_7bd50ac5,ok,True,2.0,4.0,6158.0,0.0,0.0,4785.0,1373.0,168.748,
92,Data\groud_truth\template\BashScriptAssociation.yaml,20260407_024814_bc3e353d,ok,False,5.0,10.0,162746.0,0.0,0.0,139396.0,23350.0,2797.97,
93,Data\groud_truth\template\BashScriptAssociationTags.yaml,20260407_033452_df944a62,ok,False,5.0,10.0,48328.0,0.0,0.0,40697.0,7631.0,1123.073,
94,Data\groud_truth\template\BashScriptSSMAutomation.yaml,20260407_035335_aabb55d7,ok,False,5.0,10.0,103549.0,0.0,0.0,84865.0,18684.0,2905.918,
95,Data\groud_truth\template\BashScriptSSMAutomationTags.yaml,20260407_044201_83456493,ok,False,5.0,10.0,45288.0,0.0,0.0,38267.0,7021.0,853.922,
96,Data\groud_truth\template\network-stack.yaml,20260407_045615_e40f90be,ok,True,1.0,2.0,6114.0,0.0,0.0,2937.0,3177.0,478.237,
97,Data\groud_truth\template\organization_data_pipeline.yaml,20260407_050413_0f9d00ce,ok,False,5.0,10.0,54612.0,0.0,0.0,45551.0,9061.0,926.71,
98,Data\groud_truth\template\web.yaml,20260407_051939_63a206df,ok,False,5.0,10.0,28636.0,0.0,0.0,24443.0,4193.0,400.367,
99,Data\groud_truth\template\pattern3-base.yaml,20260407_052620_311853fd,ok,False,5.0,10.0,46853.0,0.0,0.0,38604.0,8249.0,826.278,
100,Data\groud_truth\template\baseline-iam.yaml,,runtime_error,,,,,,,,,1044.128,"Error code: 400 - {'error': {'message': ""This endpoint's maximum context length is 131000 tokens. However, you requested about 132689 tokens (124497 of text input, 8192 in the output). Please reduce the length of either one, or use the context-compression plugin to compress your prompt automatically."", 'code': 400, 'metadata': {'provider_name': None}}}"
101,Data\groud_truth\template\vpc-flow-logs-custom.yaml,20260407_055730_7c85440b,ok,True,4.0,8.0,21128.0,0.0,0.0,17259.0,3869.0,357.606,
102,Data\groud_truth\template\risk_management.yaml,20260407_060328_298e2f6b,ok,False,5.0,10.0,35873.0,0.0,0.0,30313.0,5560.0,408.082,
103,Data\groud_truth\template\security-lab-stack.yaml,20260407_061016_52331813,ok,False,5.0,10.0,55181.0,0.0,0.0,46554.0,8627.0,467.567,
104,Data\groud_truth\template\sample_environment_template.yaml,20260407_061804_e6818c29,ok,False,5.0,10.0,61209.0,0.0,0.0,51770.0,9439.0,357.687,
105,Data\groud_truth\template\automation_role.yaml,20260407_062401_c6eccb7a,ok,True,1.0,2.0,3084.0,0.0,0.0,2362.0,722.0,37.091,
106,Data\groud_truth\template\bucket_and_notification.yaml,20260407_062438_0cdb475b,ok,True,1.0,2.0,3042.0,0.0,0.0,2336.0,706.0,28.825,
107,Data\groud_truth\template\APIGateway_SQS_ReceiveMessages.yaml,20260407_062507_308ecde2,ok,True,3.0,6.0,14393.0,0.0,0.0,11254.0,3139.0,136.176,
108,Data\groud_truth\template\cognito_sample.yaml,20260407_062723_14deb16c,ok,False,5.0,10.0,27701.0,0.0,0.0,23696.0,4005.0,211.189,
109,Data\groud_truth\template\mongoDB.yaml,20260407_063054_69f9621e,ok,False,5.0,10.0,28000.0,0.0,0.0,24526.0,3474.0,201.111,
110,Data\groud_truth\template\crossAccResources.yaml,20260407_063416_0630c2bd,ok,False,5.0,10.0,43416.0,0.0,0.0,36559.0,6857.0,341.468,
111,Data\groud_truth\template\DataDogApiDestination.yaml,20260407_063957_cb11f87a,ok,False,5.0,10.0,21780.0,0.0,0.0,19116.0,2664.0,155.218,
